MiruRegion	[#Repeats, #PartialRepeats, ([StartPosition, EndPosition, (Partial%)], sub-fastaHeader)]	
miru02	[2, 0, ['1012276', '1012328'], ['1012329', '1012381'], 'CGCZ01000001.1']	
miru04	[2, 1, ['1552280', '1552356'], ['1552357', '1552433'], ['1552434', '1552474', '0.5324675324675324'], 'CGCZ01000001.1']	
miru10	[2, 0, ['3967419', '3967471'], ['3967472', '3967526'], 'CGCZ01000001.1']	
miru16	[2, 0, ['2930481', '2930533'], ['2930534', '2930586'], 'CGCZ01000001.1']	
miru20	[2, 0, ['3345312', '3345369'], ['3345389', '3345446'], 'CGCZ01000001.1']	
miru23	[2, 0, ['2191341', '2191393'], ['2191394', '2191443'], 'CGCZ01000001.1']	
miru24	[1, 1, ['854346', '854397'], ['854307', '854345', '0.7222222222222222'], 'CGCZ01000001.1']	
miru26	[2, 3, ['1159749', '1159799'], ['4155548', '4155598'], ['3967474', '3967516', '0.8431372549019608'], ['1217899', '1217941', '0.8431372549019608'], ['4155514', '4155547', '0.6666666666666666'], 'CGCZ01000001.1']	
miru27	[1, 0, ['1148789', '1148841'], 'CGCZ01000001.1']	
miru31	[2, 0, ['527216', '527268'], ['527269', '527321'], 'CGCZ01000001.1']	
miru39	[2, 0, ['1714267', '1714319'], ['1714320', '1714372'], 'CGCZ01000001.1']	
miru40	[1, 0, ['133376', '133429'], 'CGCZ01000001.1']	
Mtub04	[1, 1, ['2964212', '2964262'], ['2964182', '2964211', '0.5882352941176471'], 'CGCZ01000001.1']	
ETRC	[1, 1, ['1549105', '1549162'], ['1549163', '1549199', '0.6379310344827587'], 'CGCZ01000001.1']	
Mtub21	[1, 1, ['1467254', '1467310'], ['1467311', '1467349', '0.6842105263157895'], 'CGCZ01000001.1']	
Qub11b	[4, 1, ['4227430', '4227498'], ['4227499', '4227567'], ['4274409', '4274477'], ['4274478', '4274546'], ['4274357', '4274408', '0.7536231884057971'], 'CGCZ01000001.1']	
ETRA	[1, 0, ['4228819', '4228893'], 'CGCZ01000001.1']	
Mtub29	
Mtub30	[1, 1, ['1834819', '1834876'], ['1834766', '1834818', '0.9137931034482759'], 'CGCZ01000001.1']	
ETRB	[1, 0, ['1900599', '1900655'], 'CGCZ01000001.1']	
Mtub34	[1, 1, ['547946', '547999'], ['547895', '547945', '0.9444444444444444'], 'CGCZ01000001.1']	
Mtub39	[2, 0, ['2045201', '2045258'], ['2045259', '2045316'], 'CGCZ01000001.1']	
QUB26	
QUB4156	
