MiruRegion	[#Repeats, #PartialRepeats, ([StartPosition, EndPosition, (Partial%)], sub-fastaHeader)]	
miru02	[2, 0, ['1399974', '1400026'], ['1400027', '1400079'], '1']	
miru04	[2, 1, ['3195189', '3195265'], ['3195266', '3195342'], ['3195145', '3195188', '0.5714285714285714'], '1']	
miru10	[3, 0, ['3046217', '3046269'], ['3046270', '3046322'], ['3046323', '3046377'], '1']	
miru16	[3, 0, ['134876', '134928'], ['134929', '134981'], ['134982', '135034'], '1']	
miru20	[1, 0, ['4215948', '4216005'], '1']	
miru23	[5, 0, ['722387', '722439'], ['722440', '722492'], ['722493', '722545'], ['722546', '722598'], ['722599', '722648'], '1']	
miru24	[1, 1, ['2579032', '2579083'], ['2579084', '2579122', '0.7222222222222222'], '1']	
miru26	[3, 0, ['965969', '966019'], ['966020', '966070'], ['966071', '966121'], '1']	
miru27	[2, 0, ['954956', '955008'], ['955009', '955061'], '1']	
miru31	[3, 0, ['1490938', '1490990'], ['1490991', '1491043'], ['1491044', '1491096'], '1']	
miru39	[2, 0, ['4046696', '4046748'], ['4046749', '4046801'], '1']	
miru40	[1, 0, ['1986770', '1986823'], '1']	
Mtub04	[2, 1, ['3541218', '3541268'], ['3541269', '3541319'], ['3541320', '3541349', '0.5882352941176471'], '1']	
ETRC	[2, 1, ['3198460', '3198517'], ['3198518', '3198575'], ['3198423', '3198459', '0.6379310344827587'], '1']	
Mtub21	[2, 1, ['1735002', '1735058'], ['1735059', '1735115'], ['1735116', '1735149', '0.5964912280701754'], '1']	
Qub11b	
ETRA	
Mtub29	[2, 1, ['3880111', '3880167'], ['3880168', '3880224'], ['3880063', '3880110', '0.8421052631578947'], '1']	
Mtub30	[1, 1, ['3999082', '3999139'], ['3999140', '3999192', '0.9137931034482759'], '1']	
ETRB	[1, 0, ['3734700', '3734756'], '1']	
Mtub34	[2, 1, ['1511722', '1511775'], ['1511776', '1511829'], ['1511671', '1511721', '0.9444444444444444'], '1']	
Mtub39	[1, 0, ['3797069', '3797126'], '1']	
QUB26	
QUB4156	[2, 0, ['1828841', '1828899'], ['1828900', '1828958'], '1']	
